,metric,VertLevel,Label,p-values,p-value_type,p-values_FDR_corrected
0,FICVF,2,white matter,0.21096586299142656,UPDRSIII,0.2344065144349184
1,FICVF,2,white matter,0.11888499462743658,Age,0.5036209949922297
2,FICVF,3,white matter,0.04656457935962496,UPDRSIII,0.13304165531321416
3,FICVF,3,white matter,0.3442560704226624,Age,0.6862355727009997
4,FICVF,4,white matter,0.08108682699542337,UPDRSIII,0.15475028656983125
5,FICVF,4,white matter,0.5778983501468444,Age,0.7223729376835555
6,FICVF,5,white matter,0.07595886279566977,UPDRSIII,0.15475028656983125
7,FICVF,5,white matter,0.5543059691125973,Age,0.7223729376835555
8,FICVF,2,dorsal columns,0.19124128585759842,UPDRSIII,0.22498974806776284
9,FICVF,2,dorsal columns,0.21546921662374707,Age,0.6069014022622946
10,FICVF,3,dorsal columns,0.04612606897675046,UPDRSIII,0.13304165531321416
11,FICVF,3,dorsal columns,0.4770299530682115,Age,0.6862355727009997
12,FICVF,4,dorsal columns,0.12119114811363144,UPDRSIII,0.16498726389830604
13,FICVF,4,dorsal columns,0.3738737087383225,Age,0.6862355727009997
14,FICVF,5,dorsal columns,0.03383052816408448,UPDRSIII,0.13304165531321416
15,FICVF,5,dorsal columns,0.39514029162929465,Age,0.6862355727009997
16,FICVF,2,ventral funiculi,0.0160184010584628,UPDRSIII,0.13304165531321416
17,FICVF,2,ventral funiculi,0.8386699332957908,Age,0.8386699332957908
18,FICVF,3,ventral funiculi,0.011867225364539418,UPDRSIII,0.13304165531321416
19,FICVF,3,ventral funiculi,0.6881450813584484,Age,0.8095824486569981
20,FICVF,4,ventral funiculi,0.09272059023477039,UPDRSIII,0.15475028656983125
21,FICVF,4,ventral funiculi,0.4803649008906997,Age,0.6862355727009997
22,FICVF,5,ventral funiculi,0.04507001842184176,UPDRSIII,0.13304165531321416
23,FICVF,5,ventral funiculi,0.42943923395441963,Age,0.6862355727009997
24,FICVF,2,lateral funiculi,0.46801036773382587,UPDRSIII,0.46801036773382587
25,FICVF,2,lateral funiculi,0.05006964511100528,Age,0.5006964511100528
26,FICVF,3,lateral funiculi,0.09285017194189875,UPDRSIII,0.15475028656983125
27,FICVF,3,lateral funiculi,0.23824210467788834,Age,0.6069014022622946
28,FICVF,4,lateral funiculi,0.11486796578535242,UPDRSIII,0.16498726389830604
29,FICVF,4,lateral funiculi,0.8323450486688798,Age,0.8386699332957908
30,FICVF,5,lateral funiculi,0.3122946296220853,UPDRSIII,0.3287311890758793
31,FICVF,5,lateral funiculi,0.8296555045441023,Age,0.8386699332957908
32,FICVF,2,gray matter,0.13198981111864483,UPDRSIII,0.16498726389830604
33,FICVF,2,gray matter,0.024893448252808245,Age,0.4978689650561649
34,FICVF,3,gray matter,0.0865708513290843,UPDRSIII,0.15475028656983125
35,FICVF,3,gray matter,0.12590524874805742,Age,0.5036209949922297
36,FICVF,4,gray matter,0.12685799629716302,UPDRSIII,0.16498726389830604
37,FICVF,4,gray matter,0.11301249458401748,Age,0.5036209949922297
38,FICVF,5,gray matter,0.04258144200938501,UPDRSIII,0.13304165531321416
39,FICVF,5,gray matter,0.24276056090491788,Age,0.6069014022622946
40,FISO,2,white matter,0.14621225991384865,UPDRSIII,0.3249161331418859
41,FISO,2,white matter,0.16063389756568747,Age,0.2587824256423234
42,FISO,3,white matter,0.11854682654593958,UPDRSIII,0.29636706636484894
43,FISO,3,white matter,0.27010001479339024,Age,0.3229625983089823
44,FISO,4,white matter,0.7815349293920327,UPDRSIII,0.8683721437689252
45,FISO,4,white matter,0.15375034019988318,Age,0.2587824256423234
46,FISO,5,white matter,0.202238434324477,UPDRSIII,0.39651112211133926
47,FISO,5,white matter,0.10451374143490566,Age,0.2587824256423234
48,FISO,2,dorsal columns,0.0780846351055961,UPDRSIII,0.29636706636484894
49,FISO,2,dorsal columns,0.17110868715687996,Age,0.2587824256423234
50,FISO,3,dorsal columns,0.06604064266072336,UPDRSIII,0.29636706636484894
51,FISO,3,dorsal columns,0.33705218087488586,Age,0.37450242319431765
52,FISO,4,dorsal columns,0.7272102675643795,UPDRSIII,0.8555414912522111
53,FISO,4,dorsal columns,0.09639970878519052,Age,0.2587824256423234
54,FISO,5,dorsal columns,0.09574079505876859,UPDRSIII,0.29636706636484894
55,FISO,5,dorsal columns,0.10234032311855389,Age,0.2587824256423234
56,FISO,2,ventral funiculi,0.016042954389829143,UPDRSIII,0.29636706636484894
57,FISO,2,ventral funiculi,0.9494125869116028,Age,0.9494125869116028
58,FISO,3,ventral funiculi,0.11354745400471711,UPDRSIII,0.29636706636484894
59,FISO,3,ventral funiculi,0.4963126178524697,Age,0.5224343345815471
60,FISO,4,ventral funiculi,0.8951879699062842,UPDRSIII,0.8951879699062842
61,FISO,4,ventral funiculi,0.14784718978596967,Age,0.2587824256423234
62,FISO,5,ventral funiculi,0.5412320413628442,UPDRSIII,0.7216427218171256
63,FISO,5,ventral funiculi,0.05376443264003997,Age,0.2587824256423234
64,FISO,2,lateral funiculi,0.5165217132017463,UPDRSIII,0.7216427218171256
65,FISO,2,lateral funiculi,0.10473026632521261,Age,0.2587824256423234
66,FISO,3,lateral funiculi,0.2180811171612366,UPDRSIII,0.39651112211133926
67,FISO,3,lateral funiculi,0.19408681923174256,Age,0.2587824256423234
68,FISO,4,lateral funiculi,0.7023536168234581,UPDRSIII,0.8555414912522111
69,FISO,4,lateral funiculi,0.2745182085626349,Age,0.3229625983089823
70,FISO,5,lateral funiculi,0.2581198031227687,UPDRSIII,0.3971073894196442
71,FISO,5,lateral funiculi,0.19032973864246924,Age,0.2587824256423234
72,FISO,2,gray matter,0.10256781342364589,UPDRSIII,0.29636706636484894
73,FISO,2,gray matter,0.1234730798557316,Age,0.2587824256423234
74,FISO,3,gray matter,0.24887571214461757,UPDRSIII,0.3971073894196442
75,FISO,3,gray matter,0.1763769505999503,Age,0.2587824256423234
76,FISO,4,gray matter,0.8897444834261312,UPDRSIII,0.8951879699062842
77,FISO,4,gray matter,0.0906094528844766,Age,0.2587824256423234
78,FISO,5,gray matter,0.09276198516616307,UPDRSIII,0.29636706636484894
79,FISO,5,gray matter,0.05134477087780877,Age,0.2587824256423234
80,ODI,2,white matter,0.23697038701631745,UPDRSIII,0.4242705236161542
81,ODI,2,white matter,0.31491434274616753,Age,0.7872858568654187
82,ODI,3,white matter,0.09624479276632826,UPDRSIII,0.4242705236161542
83,ODI,3,white matter,0.5479036020636819,Age,0.811575236824404
84,ODI,4,white matter,0.1558465864628066,UPDRSIII,0.4242705236161542
85,ODI,4,white matter,0.4892471599091881,Age,0.811575236824404
86,ODI,5,white matter,0.40208325258103494,UPDRSIII,0.5026040657262937
87,ODI,5,white matter,0.8893967095702238,Age,0.9887005018263992
88,ODI,2,dorsal columns,0.12919944993641555,UPDRSIII,0.4242705236161542
89,ODI,2,dorsal columns,0.5133589438413423,Age,0.811575236824404
90,ODI,3,dorsal columns,0.04805492336468529,UPDRSIII,0.4242705236161542
91,ODI,3,dorsal columns,0.35987480083032675,Age,0.7997217796229483
92,ODI,4,dorsal columns,0.16750123170533365,UPDRSIII,0.4242705236161542
93,ODI,4,dorsal columns,0.608681427618303,Age,0.811575236824404
94,ODI,5,dorsal columns,0.3744141998451024,UPDRSIII,0.5026040657262937
95,ODI,5,dorsal columns,0.20319994898263805,Age,0.7872858568654187
96,ODI,2,ventral funiculi,0.4968804585947274,UPDRSIII,0.5845652454055617
97,ODI,2,ventral funiculi,0.5840993396265691,Age,0.811575236824404
98,ODI,3,ventral funiculi,0.07694389916849581,UPDRSIII,0.4242705236161542
99,ODI,3,ventral funiculi,0.7946552252522092,Age,0.9887005018263992
